,Year,Type of Offence,UNIT,VALUE
1422,2007,Organisation of crime and conspiracy to commit crime,Number,4.0
1423,2007,Perverting the course of justice,Number,41.0
1424,2007,"Offences while in custody, breach of court orders",Number,2447.0
1425,2007,Homicide offences,Number,39.0
1426,2007,Murder,Number,20.0
1427,2007,Manslaughter,Number,3.0
1428,2007,Infanticide,Number,0.0
1429,2007,Dangerous driving leading to death,Number,16.0
1430,2007,Sexual offences,Number,278.0
1431,2007,Rape of a male or female,Number,81.0
1432,2007,Defilement of a boy or girl less than 17 years old,Number,12.0
1433,2007,Sexual offence involving mentally impaired person,Number,2.0
1434,2007,Aggravated sexual assault,Number,2.0
1435,2007,Sexual assault (not aggravated),Number,163.0
1436,2007,Other sexual offences,Number,18.0
1437,2007,"Attempts/threats to murder, assaults, harassments and related offences",Number,4826.0
1438,2007,Murder-attempt,Number,2.0
1439,2007,Threat to kill or cause serious harm,Number,40.0
1440,2007,Harassment and related offences,Number,650.0
1441,2007,"Assault causing harm, poisoning",Number,997.0
1442,2007,Other assault,Number,3137.0
1443,2007,Dangerous or negligent acts,Number,5230.0
1444,2007,Dangerous driving causing serious bodily harm,Number,3.0
1445,2007,Driving/in charge of a vehicle while over legal alcohol limit,Number,4896.0
1446,2007,Driving/in charge of a vehicle under the influence of drugs,Number,114.0
1447,2007,Endangerment with potential for serious harm/death,Number,14.0
1448,2007,"Abandoning a child, child neglect and cruelty",Number,127.0
1449,2007,Unseaworthy/dangerous use of boat or ship,Number,0.0
1450,2007,False alarm/interference with aircraft or air transport facilities,Number,12.0
1451,2007,Endangering traffic offences,Number,64.0
1452,2007,Kidnapping and related offences,Number,32.0
1453,2007,False imprisonment,Number,26.0
1454,2007,Abduction of person under 16 years of age,Number,6.0
1455,2007,Human trafficking offences,Number,0.0
1456,2007,"Robbery, extortion and hijacking offences",Number,575.0
1457,2007,Robbery of an establishment or institution,Number,239.0
1458,2007,Robbery of cash or goods in transit,Number,7.0
1459,2007,Robbery from the person,Number,305.0
1460,2007,Blackmail or extortion,Number,4.0
1461,2007,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,20.0
1462,2007,Burglary and related offences,Number,6953.0
1463,2007,Aggravated burglary,Number,74.0
1464,2007,Burglary (not aggravated),Number,6808.0
1465,2007,"Possession of an article (with intent to burgle, steal, demand)",Number,71.0
1466,2007,Theft and related offences,Number,18835.0
1467,2007,Theft/taking of vehicle and related offences,Number,3460.0
1468,2007,Theft from person,Number,703.0
1469,2007,Theft from shop,Number,4956.0
1470,2007,"Other thefts, handling stolen property",Number,9716.0
1471,2007,"Fraud, deception and related offences",Number,1593.0
1472,2007,Controlled drug offences,Number,4530.0
1473,2007,Importation of drugs,Number,16.0
1474,2007,Cultivation or manufacture of drugs,Number,37.0
1475,2007,Possession of drugs for sale or supply,Number,907.0
1476,2007,Possession of drugs for personal use,Number,3400.0
1477,2007,Other drug offences,Number,170.0
1478,2007,Weapons and Explosives Offences,Number,1117.0
1479,2007,"Explosives, chemical weapons offences",Number,7.0
1480,2007,Discharging a firearm,Number,75.0
1481,2007,Possession of a firearm,Number,117.0
1482,2007,Offensive weapons offences (n.e.c.),Number,694.0
1483,2007,Fireworks offences,Number,224.0
1484,2007,Damage to property and to the environment,Number,11138.0
1485,2007,Arson,Number,618.0
1486,2007,Criminal damage (not arson),Number,10469.0
1487,2007,Litter offences,Number,51.0
1488,2007,Public order and other social code offences,Number,15682.0
1489,2007,Disorderly conduct,Number,13689.0
1490,2007,Trespass offences,Number,756.0
1491,2007,Liquor licensing offences,Number,963.0
1492,2007,Prostitution offences,Number,23.0
1493,2007,"Regulated betting/money, collection/trading offences",Number,134.0
1494,2007,Social code offences (n.e.c.),Number,117.0
1495,2007,"Offences against government, justice procedures and organisation of crime",Number,2667.0
1496,2007,Offences against government and its agents,Number,70.0
1497,2007,Organisation of crime and conspiracy to commit crime,Number,1.0
1498,2007,Perverting the course of justice,Number,52.0
1499,2007,"Offences while in custody, breach of court orders",Number,2544.0
1500,2008,Homicide offences,Number,24.0
1501,2008,Murder,Number,13.0
1502,2008,Manslaughter,Number,1.0
1503,2008,Infanticide,Number,0.0
1504,2008,Dangerous driving leading to death,Number,10.0
1505,2008,Sexual offences,Number,344.0
1506,2008,Rape of a male or female,Number,80.0
1507,2008,Defilement of a boy or girl less than 17 years old,Number,28.0
1508,2008,Sexual offence involving mentally impaired person,Number,1.0
1509,2008,Aggravated sexual assault,Number,0.0
1510,2008,Sexual assault (not aggravated),Number,220.0
1511,2008,Other sexual offences,Number,15.0
1512,2008,"Attempts/threats to murder, assaults, harassments and related offences",Number,4892.0
1513,2008,Murder-attempt,Number,0.0
1514,2008,Threat to kill or cause serious harm,Number,55.0
1515,2008,Harassment and related offences,Number,845.0
1516,2008,"Assault causing harm, poisoning",Number,976.0
1517,2008,Other assault,Number,3016.0
1518,2008,Dangerous or negligent acts,Number,5091.0
1519,2008,Dangerous driving causing serious bodily harm,Number,8.0
1520,2008,Driving/in charge of a vehicle while over legal alcohol limit,Number,4717.0
1521,2008,Driving/in charge of a vehicle under the influence of drugs,Number,149.0
1522,2008,Endangerment with potential for serious harm/death,Number,12.0
1523,2008,"Abandoning a child, child neglect and cruelty",Number,109.0
1524,2008,Unseaworthy/dangerous use of boat or ship,Number,1.0
1525,2008,False alarm/interference with aircraft or air transport facilities,Number,8.0
1526,2008,Endangering traffic offences,Number,87.0
1527,2008,Kidnapping and related offences,Number,18.0
1528,2008,False imprisonment,Number,14.0
1529,2008,Abduction of person under 16 years of age,Number,4.0
1530,2008,Human trafficking offences,Number,0.0
1531,2008,"Robbery, extortion and hijacking offences",Number,663.0
1532,2008,Robbery of an establishment or institution,Number,267.0
1533,2008,Robbery of cash or goods in transit,Number,4.0
1534,2008,Robbery from the person,Number,361.0
1535,2008,Blackmail or extortion,Number,7.0
1536,2008,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,24.0
1537,2008,Burglary and related offences,Number,6783.0
1538,2008,Aggravated burglary,Number,84.0
1539,2008,Burglary (not aggravated),Number,6585.0
1540,2008,"Possession of an article (with intent to burgle, steal, demand)",Number,114.0
1541,2008,Theft and related offences,Number,18795.0
1542,2008,Theft/taking of vehicle and related offences,Number,3609.0
1543,2008,Theft from person,Number,742.0
1544,2008,Theft from shop,Number,4767.0
1545,2008,"Other thefts, handling stolen property",Number,9677.0
1546,2008,"Fraud, deception and related offences",Number,1541.0
1547,2008,Controlled drug offences,Number,5231.0
1548,2008,Importation of drugs,Number,20.0
1549,2008,Cultivation or manufacture of drugs,Number,28.0
1550,2008,Possession of drugs for sale or supply,Number,1117.0
1551,2008,Possession of drugs for personal use,Number,3890.0
1552,2008,Other drug offences,Number,176.0
1553,2008,Weapons and Explosives Offences,Number,924.0
1554,2008,"Explosives, chemical weapons offences",Number,6.0
1555,2008,Discharging a firearm,Number,68.0
1556,2008,Possession of a firearm,Number,92.0
1557,2008,Offensive weapons offences (n.e.c.),Number,749.0
1558,2008,Fireworks offences,Number,9.0
1559,2008,Damage to property and to the environment,Number,11687.0
1560,2008,Arson,Number,561.0
1561,2008,Criminal damage (not arson),Number,11055.0
1562,2008,Litter offences,Number,71.0
1563,2008,Public order and other social code offences,Number,15444.0
1564,2008,Disorderly conduct,Number,13229.0
1565,2008,Trespass offences,Number,916.0
1566,2008,Liquor licensing offences,Number,1087.0
1567,2008,Prostitution offences,Number,35.0
1568,2008,"Regulated betting/money, collection/trading offences",Number,74.0
1569,2008,Social code offences (n.e.c.),Number,103.0
1570,2008,"Offences against government, justice procedures and organisation of crime",Number,3194.0
1571,2008,Offences against government and its agents,Number,105.0
1572,2008,Organisation of crime and conspiracy to commit crime,Number,2.0
1573,2008,Perverting the course of justice,Number,46.0
1574,2008,"Offences while in custody, breach of court orders",Number,3041.0
1575,2008,Homicide offences,Number,27.0
1576,2008,Murder,Number,10.0
1577,2008,Manslaughter,Number,4.0
1578,2008,Infanticide,Number,0.0
1579,2008,Dangerous driving leading to death,Number,13.0
1580,2008,Sexual offences,Number,319.0
1581,2008,Rape of a male or female,Number,74.0
1582,2008,Defilement of a boy or girl less than 17 years old,Number,17.0
1583,2008,Sexual offence involving mentally impaired person,Number,2.0
1584,2008,Aggravated sexual assault,Number,2.0
1585,2008,Sexual assault (not aggravated),Number,208.0
1586,2008,Other sexual offences,Number,16.0
1587,2008,"Attempts/threats to murder, assaults, harassments and related offences",Number,5125.0
1588,2008,Murder-attempt,Number,4.0
1589,2008,Threat to kill or cause serious harm,Number,58.0
1590,2008,Harassment and related offences,Number,806.0
1591,2008,"Assault causing harm, poisoning",Number,997.0
1592,2008,Other assault,Number,3260.0
1593,2008,Dangerous or negligent acts,Number,4946.0
1594,2008,Dangerous driving causing serious bodily harm,Number,5.0
1595,2008,Driving/in charge of a vehicle while over legal alcohol limit,Number,4539.0
1596,2008,Driving/in charge of a vehicle under the influence of drugs,Number,162.0
1597,2008,Endangerment with potential for serious harm/death,Number,16.0
1598,2008,"Abandoning a child, child neglect and cruelty",Number,162.0
1599,2008,Unseaworthy/dangerous use of boat or ship,Number,1.0
1600,2008,False alarm/interference with aircraft or air transport facilities,Number,15.0
1601,2008,Endangering traffic offences,Number,46.0
1602,2008,Kidnapping and related offences,Number,17.0
1603,2008,False imprisonment,Number,15.0
1604,2008,Abduction of person under 16 years of age,Number,2.0
1605,2008,Human trafficking offences,Number,0.0
1606,2008,"Robbery, extortion and hijacking offences",Number,561.0
1607,2008,Robbery of an establishment or institution,Number,194.0
1608,2008,Robbery of cash or goods in transit,Number,5.0
1609,2008,Robbery from the person,Number,324.0
1610,2008,Blackmail or extortion,Number,6.0
1611,2008,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,32.0
1612,2008,Burglary and related offences,Number,5964.0
1613,2008,Aggravated burglary,Number,87.0
1614,2008,Burglary (not aggravated),Number,5773.0
1615,2008,"Possession of an article (with intent to burgle, steal, demand)",Number,104.0
1616,2008,Theft and related offences,Number,20049.0
1617,2008,Theft/taking of vehicle and related offences,Number,3593.0
1618,2008,Theft from person,Number,1051.0
1619,2008,Theft from shop,Number,5085.0
1620,2008,"Other thefts, handling stolen property",Number,10320.0
1621,2008,"Fraud, deception and related offences",Number,1505.0
1622,2008,Controlled drug offences,Number,5702.0
1623,2008,Importation of drugs,Number,12.0
1624,2008,Cultivation or manufacture of drugs,Number,42.0
1625,2008,Possession of drugs for sale or supply,Number,1075.0
1626,2008,Possession of drugs for personal use,Number,4392.0
1627,2008,Other drug offences,Number,181.0
1628,2008,Weapons and Explosives Offences,Number,945.0
1629,2008,"Explosives, chemical weapons offences",Number,8.0
1630,2008,Discharging a firearm,Number,48.0
1631,2008,Possession of a firearm,Number,122.0
1632,2008,Offensive weapons offences (n.e.c.),Number,758.0
1633,2008,Fireworks offences,Number,9.0
1634,2008,Damage to property and to the environment,Number,11291.0
1635,2008,Arson,Number,614.0
1636,2008,Criminal damage (not arson),Number,10587.0
1637,2008,Litter offences,Number,90.0
1638,2008,Public order and other social code offences,Number,15803.0
1639,2008,Disorderly conduct,Number,13561.0
1640,2008,Trespass offences,Number,1043.0
1641,2008,Liquor licensing offences,Number,958.0
1642,2008,Prostitution offences,Number,47.0
1643,2008,"Regulated betting/money, collection/trading offences",Number,112.0
1644,2008,Social code offences (n.e.c.),Number,82.0
1645,2008,"Offences against government, justice procedures and organisation of crime",Number,3492.0
1646,2008,Offences against government and its agents,Number,96.0
1647,2008,Organisation of crime and conspiracy to commit crime,Number,4.0
1648,2008,Perverting the course of justice,Number,41.0
1649,2008,"Offences while in custody, breach of court orders",Number,3351.0
1650,2008,Homicide offences,Number,30.0
1651,2008,Murder,Number,12.0
1652,2008,Manslaughter,Number,4.0
1653,2008,Infanticide,Number,0.0
1654,2008,Dangerous driving leading to death,Number,14.0
1655,2008,Sexual offences,Number,330.0
1656,2008,Rape of a male or female,Number,107.0
1657,2008,Defilement of a boy or girl less than 17 years old,Number,15.0
1658,2008,Sexual offence involving mentally impaired person,Number,1.0
1659,2008,Aggravated sexual assault,Number,5.0
1660,2008,Sexual assault (not aggravated),Number,182.0
1661,2008,Other sexual offences,Number,20.0
1662,2008,"Attempts/threats to murder, assaults, harassments and related offences",Number,4969.0
1663,2008,Murder-attempt,Number,6.0
1664,2008,Threat to kill or cause serious harm,Number,43.0
1665,2008,Harassment and related offences,Number,716.0
1666,2008,"Assault causing harm, poisoning",Number,894.0
1667,2008,Other assault,Number,3310.0
1668,2008,Dangerous or negligent acts,Number,4479.0
1669,2008,Dangerous driving causing serious bodily harm,Number,3.0
