"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2007Q1","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q1","False alarm/interference with aircraft or air transport facilities","Number","3"
"Recorded crime incidents (Under Reservation)","2007Q1","Endangering traffic offences","Number","49"
"Recorded crime incidents (Under Reservation)","2007Q1","Kidnapping and related offences","Number","23"
"Recorded crime incidents (Under Reservation)","2007Q1","False imprisonment","Number","21"
"Recorded crime incidents (Under Reservation)","2007Q1","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2007Q1","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q1","Robbery, extortion and hijacking offences","Number","578"
"Recorded crime incidents (Under Reservation)","2007Q1","Robbery of an establishment or institution","Number","241"
"Recorded crime incidents (Under Reservation)","2007Q1","Robbery of cash or goods in transit","Number","7"
"Recorded crime incidents (Under Reservation)","2007Q1","Robbery from the person","Number","307"
"Recorded crime incidents (Under Reservation)","2007Q1","Blackmail or extortion","Number","6"
"Recorded crime incidents (Under Reservation)","2007Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","17"
"Recorded crime incidents (Under Reservation)","2007Q1","Burglary and related offences","Number","5943"
"Recorded crime incidents (Under Reservation)","2007Q1","Aggravated burglary","Number","65"
"Recorded crime incidents (Under Reservation)","2007Q1","Burglary (not aggravated)","Number","5803"
"Recorded crime incidents (Under Reservation)","2007Q1","Possession of an article (with intent to burgle, steal, demand)","Number","75"
"Recorded crime incidents (Under Reservation)","2007Q1","Theft and related offences","Number","18082"
"Recorded crime incidents (Under Reservation)","2007Q1","Theft/taking of vehicle and related offences","Number","3467"
"Recorded crime incidents (Under Reservation)","2007Q1","Theft from person","Number","728"
"Recorded crime incidents (Under Reservation)","2007Q1","Theft from shop","Number","4474"
"Recorded crime incidents (Under Reservation)","2007Q1","Other thefts, handling stolen property","Number","9413"
"Recorded crime incidents (Under Reservation)","2007Q1","Fraud, deception and related offences","Number","1660"
"Recorded crime incidents (Under Reservation)","2007Q1","Controlled drug offences","Number","3956"
"Recorded crime incidents (Under Reservation)","2007Q1","Importation of drugs","Number","14"
"Recorded crime incidents (Under Reservation)","2007Q1","Cultivation or manufacture of drugs","Number","26"
"Recorded crime incidents (Under Reservation)","2007Q1","Possession of drugs for sale or supply","Number","888"
"Recorded crime incidents (Under Reservation)","2007Q1","Possession of drugs for personal use","Number","2848"
"Recorded crime incidents (Under Reservation)","2007Q1","Other drug offences","Number","180"
"Recorded crime incidents (Under Reservation)","2007Q1","Weapons and Explosives Offences","Number","732"
"Recorded crime incidents (Under Reservation)","2007Q1","Explosives, chemical weapons offences","Number","5"
"Recorded crime incidents (Under Reservation)","2007Q1","Discharging a firearm","Number","90"
"Recorded crime incidents (Under Reservation)","2007Q1","Possession of a firearm","Number","90"
"Recorded crime incidents (Under Reservation)","2007Q1","Offensive weapons offences (n.e.c.)","Number","543"
"Recorded crime incidents (Under Reservation)","2007Q1","Fireworks offences","Number","4"
"Recorded crime incidents (Under Reservation)","2007Q1","Damage to property and to the environment","Number","10734"
"Recorded crime incidents (Under Reservation)","2007Q1","Arson","Number","405"
"Recorded crime incidents (Under Reservation)","2007Q1","Criminal damage (not arson)","Number","10282"
"Recorded crime incidents (Under Reservation)","2007Q1","Litter offences","Number","47"
"Recorded crime incidents (Under Reservation)","2007Q1","Public order and other social code offences","Number","13813"
"Recorded crime incidents (Under Reservation)","2007Q1","Disorderly conduct","Number","11444"
"Recorded crime incidents (Under Reservation)","2007Q1","Trespass offences","Number","669"
"Recorded crime incidents (Under Reservation)","2007Q1","Liquor licensing offences","Number","1202"
"Recorded crime incidents (Under Reservation)","2007Q1","Prostitution offences","Number","30"
"Recorded crime incidents (Under Reservation)","2007Q1","Regulated betting/money, collection/trading offences","Number","122"
"Recorded crime incidents (Under Reservation)","2007Q1","Social code offences (n.e.c.)","Number","346"
"Recorded crime incidents (Under Reservation)","2007Q1","Offences against government, justice procedures and organisation of crime","Number","2946"
"Recorded crime incidents (Under Reservation)","2007Q1","Offences against government and its agents","Number","110"
"Recorded crime incidents (Under Reservation)","2007Q1","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2007Q1","Perverting the course of justice","Number","57"
"Recorded crime incidents (Under Reservation)","2007Q1","Offences while in custody, breach of court orders","Number","2777"
"Recorded crime incidents (Under Reservation)","2007Q2","Homicide offences","Number","45"
"Recorded crime incidents (Under Reservation)","2007Q2","Murder","Number","22"
"Recorded crime incidents (Under Reservation)","2007Q2","Manslaughter","Number","5"
"Recorded crime incidents (Under Reservation)","2007Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q2","Dangerous driving leading to death","Number","18"
"Recorded crime incidents (Under Reservation)","2007Q2","Sexual offences","Number","331"
"Recorded crime incidents (Under Reservation)","2007Q2","Rape of a male or female","Number","91"
"Recorded crime incidents (Under Reservation)","2007Q2","Defilement of a boy or girl less than 17 years old","Number","13"
"Recorded crime incidents (Under Reservation)","2007Q2","Sexual offence involving mentally impaired person","Number","1"
"Recorded crime incidents (Under Reservation)","2007Q2","Aggravated sexual assault","Number","7"
"Recorded crime incidents (Under Reservation)","2007Q2","Sexual assault (not aggravated)","Number","205"
"Recorded crime incidents (Under Reservation)","2007Q2","Other sexual offences","Number","14"
"Recorded crime incidents (Under Reservation)","2007Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","4474"
"Recorded crime incidents (Under Reservation)","2007Q2","Murder-attempt","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q2","Threat to kill or cause serious harm","Number","33"
"Recorded crime incidents (Under Reservation)","2007Q2","Harassment and related offences","Number","621"
"Recorded crime incidents (Under Reservation)","2007Q2","Assault causing harm, poisoning","Number","1001"
"Recorded crime incidents (Under Reservation)","2007Q2","Other assault","Number","2819"
"Recorded crime incidents (Under Reservation)","2007Q2","Dangerous or negligent acts","Number","5248"
"Recorded crime incidents (Under Reservation)","2007Q2","Dangerous driving causing serious bodily harm","Number","9"
"Recorded crime incidents (Under Reservation)","2007Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","4917"
"Recorded crime incidents (Under Reservation)","2007Q2","Driving/in charge of a vehicle under the influence of drugs","Number","68"
"Recorded crime incidents (Under Reservation)","2007Q2","Endangerment with potential for serious harm/death","Number","26"
"Recorded crime incidents (Under Reservation)","2007Q2","Abandoning a child, child neglect and cruelty","Number","168"
"Recorded crime incidents (Under Reservation)","2007Q2","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q2","False alarm/interference with aircraft or air transport facilities","Number","1"
"Recorded crime incidents (Under Reservation)","2007Q2","Endangering traffic offences","Number","59"
"Recorded crime incidents (Under Reservation)","2007Q2","Kidnapping and related offences","Number","26"
"Recorded crime incidents (Under Reservation)","2007Q2","False imprisonment","Number","23"
"Recorded crime incidents (Under Reservation)","2007Q2","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2007Q2","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q2","Robbery, extortion and hijacking offences","Number","477"
"Recorded crime incidents (Under Reservation)","2007Q2","Robbery of an establishment or institution","Number","150"
"Recorded crime incidents (Under Reservation)","2007Q2","Robbery of cash or goods in transit","Number","4"
"Recorded crime incidents (Under Reservation)","2007Q2","Robbery from the person","Number","308"
"Recorded crime incidents (Under Reservation)","2007Q2","Blackmail or extortion","Number","6"
"Recorded crime incidents (Under Reservation)","2007Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","9"
"Recorded crime incidents (Under Reservation)","2007Q2","Burglary and related offences","Number","5190"
"Recorded crime incidents (Under Reservation)","2007Q2","Aggravated burglary","Number","48"
"Recorded crime incidents (Under Reservation)","2007Q2","Burglary (not aggravated)","Number","5074"
"Recorded crime incidents (Under Reservation)","2007Q2","Possession of an article (with intent to burgle, steal, demand)","Number","68"
"Recorded crime incidents (Under Reservation)","2007Q2","Theft and related offences","Number","18847"
"Recorded crime incidents (Under Reservation)","2007Q2","Theft/taking of vehicle and related offences","Number","3279"
"Recorded crime incidents (Under Reservation)","2007Q2","Theft from person","Number","689"
"Recorded crime incidents (Under Reservation)","2007Q2","Theft from shop","Number","4686"
"Recorded crime incidents (Under Reservation)","2007Q2","Other thefts, handling stolen property","Number","10193"
"Recorded crime incidents (Under Reservation)","2007Q2","Fraud, deception and related offences","Number","1403"
"Recorded crime incidents (Under Reservation)","2007Q2","Controlled drug offences","Number","4857"
"Recorded crime incidents (Under Reservation)","2007Q2","Importation of drugs","Number","10"
"Recorded crime incidents (Under Reservation)","2007Q2","Cultivation or manufacture of drugs","Number","41"
"Recorded crime incidents (Under Reservation)","2007Q2","Possession of drugs for sale or supply","Number","911"
"Recorded crime incidents (Under Reservation)","2007Q2","Possession of drugs for personal use","Number","3690"
